row_id,experiment,section,primitive_kind,primitive_name,logical_operation,shape,chunk_shape,elements_per_invocation,invocations,latency_per_invocation,compute_latency,memory_latency,estimated_latency,fallback_from,notes
48,all_primitives,fd.potential.radius.newton_4,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
49,all_primitives,fd.potential.radius.newton_4,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
50,all_primitives,fd.potential.radius.newton_4,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
51,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
52,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
53,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_log,log,"(200,)","(4,)",4,50,1.0,50.0,50.0,50.0,,unary
54,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
55,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_add,add,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
56,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
57,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
58,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
59,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
60,all_primitives,fd.potential.radius.newton_5,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
61,all_primitives,fd.potential,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
